style,country,year,count
Boogie,Italy,1977,5
Boogie,Italy,1978,5
Boogie,Italy,1979,2
Boogie,Italy,1980,15
Boogie,Italy,1981,20
Boogie,Italy,1982,26
Boogie,Italy,1983,27
Boogie,Italy,1984,23
Boogie,Italy,1985,9
Boogie,Italy,1986,5
Boogie,Italy,1987,5
Boogie,Italy,1988,0
Boogie,Italy,1989,2
Boogie,Italy,1990,6
Boogie,Germany,1970,0
Boogie,Germany,1971,3
Boogie,Germany,1972,2
Boogie,Germany,1973,2
Boogie,Germany,1974,3
Boogie,Germany,1975,9
Boogie,Germany,1976,8
Boogie,Germany,1977,4
Boogie,Germany,1978,7
Boogie,Germany,1979,14
Boogie,Germany,1980,19
Boogie,Germany,1981,35
Boogie,Germany,1982,44
Boogie,Germany,1983,70
Boogie,Germany,1984,55
Boogie,Germany,1985,65
Boogie,Germany,1986,40
Boogie,Germany,1987,20
Boogie,Germany,1988,18
Boogie,Germany,1989,17
Boogie,Germany,1990,16
Boogie,Spain,1970,0
Boogie,Spain,1971,0
Boogie,Spain,1972,0
Boogie,Spain,1973,1
Boogie,Spain,1974,1
Boogie,Spain,1975,3
Boogie,Spain,1976,0
Boogie,Spain,1977,2
Boogie,Spain,1978,3
Boogie,Spain,1979,5
Boogie,Spain,1980,4
Boogie,Spain,1981,3
Boogie,Spain,1982,13
Boogie,Spain,1983,18
Boogie,Spain,1984,16
Boogie,Spain,1985,5
Boogie,Spain,1986,4
Boogie,Spain,1987,5
Boogie,Spain,1988,2
Boogie,Spain,1989,0
Boogie,Spain,1990,0
Dance-Pop,ALL,1970,1
Dance-Pop,ALL,1971,5
Dance-Pop,ALL,1972,1
Dance-Pop,ALL,1973,5
Dance-Pop,ALL,1974,2
Dance-Pop,ALL,1975,4
Dance-Pop,ALL,1976,8
Dance-Pop,ALL,1977,24
Dance-Pop,ALL,1978,26
Dance-Pop,ALL,1979,31
Dance-Pop,ALL,1980,28
Dance-Pop,ALL,1981,64
Dance-Pop,ALL,1982,123
Dance-Pop,ALL,1983,369
Dance-Pop,ALL,1984,425
Dance-Pop,ALL,1985,529
Dance-Pop,ALL,1986,559
Dance-Pop,ALL,1987,1019
Dance-Pop,ALL,1988,1084
Dance-Pop,ALL,1989,1162
Dance-Pop,ALL,1990,1203
Dance-Pop,US,1970,0
Dance-Pop,US,1971,0
Dance-Pop,US,1972,0
Dance-Pop,US,1973,2
Dance-Pop,US,1974,0
Dance-Pop,US,1975,0
Dance-Pop,US,1976,0
Dance-Pop,US,1977,0
Dance-Pop,US,1978,2
Dance-Pop,US,1979,1
Dance-Pop,US,1980,6
Dance-Pop,US,1981,8
Dance-Pop,US,1982,20
Dance-Pop,US,1983,84
Dance-Pop,US,1984,97
Dance-Pop,US,1985,87
Dance-Pop,US,1986,102
Dance-Pop,US,1987,200
Dance-Pop,US,1988,221
Dance-Pop,US,1989,240
Dance-Pop,US,1990,193
Dance-Pop,UK,1970,0
Dance-Pop,UK,1971,0
Dance-Pop,UK,1972,0
Dance-Pop,UK,1973,0
Dance-Pop,UK,1974,0
Dance-Pop,UK,1975,0
Dance-Pop,UK,1976,2
Dance-Pop,UK,1977,2
Dance-Pop,UK,1978,1
Dance-Pop,UK,1979,0
Dance-Pop,UK,1980,3
Dance-Pop,UK,1981,9
Dance-Pop,UK,1982,25
Dance-Pop,UK,1983,45
Dance-Pop,UK,1984,49
Dance-Pop,UK,1985,80
Dance-Pop,UK,1986,88
Dance-Pop,UK,1987,121
Dance-Pop,UK,1988,133
Dance-Pop,UK,1989,127
Dance-Pop,UK,1990,116
Dance-Pop,Italy,1970,0
Dance-Pop,Italy,1971,0
Dance-Pop,Italy,1972,1
Dance-Pop,Italy,1973,0
Dance-Pop,Italy,1974,0
Dance-Pop,Italy,1975,0
Dance-Pop,Italy,1976,0
Dance-Pop,Italy,1977,0
Dance-Pop,Italy,1978,1
Dance-Pop,Italy,1979,1
Dance-Pop,Italy,1980,3
Dance-Pop,Italy,1981,4
Dance-Pop,Italy,1982,8
Dance-Pop,Italy,1983,15
Dance-Pop,Italy,1984,11
Dance-Pop,Italy,1985,20
Dance-Pop,Italy,1986,13
Dance-Pop,Italy,1987,35
Dance-Pop,Italy,1988,25
Dance-Pop,Italy,1989,12
Dance-Pop,Italy,1990,19
Dance-Pop,Germany,1970,0
Dance-Pop,Germany,1971,0
Dance-Pop,Germany,1972,0
Dance-Pop,Germany,1973,0
Dance-Pop,Germany,1974,0
Dance-Pop,Germany,1975,0
Dance-Pop,Germany,1976,1
Dance-Pop,Germany,1977,1
Dance-Pop,Germany,1978,1
Dance-Pop,Germany,1979,4
Dance-Pop,Germany,1980,1
Dance-Pop,Germany,1981,6
Dance-Pop,Germany,1982,1
Dance-Pop,Germany,1983,8
Dance-Pop,Germany,1984,13
Dance-Pop,Germany,1985,18
Dance-Pop,Germany,1986,28
Dance-Pop,Germany,1987,23
Dance-Pop,Germany,1988,35
Dance-Pop,Germany,1989,33
Dance-Pop,Germany,1990,32
Dance-Pop,Spain,1970,0
Dance-Pop,Spain,1971,0
Dance-Pop,Spain,1972,0
Dance-Pop,Spain,1973,0
Dance-Pop,Spain,1974,0
Dance-Pop,Spain,1975,0
Dance-Pop,Spain,1976,1
Dance-Pop,Spain,1977,4
Dance-Pop,Spain,1978,0
Dance-Pop,Spain,1979,1
Dance-Pop,Spain,1980,2
Dance-Pop,Spain,1981,4
Dance-Pop,Spain,1982,4
Dance-Pop,Spain,1983,5
Dance-Pop,Spain,1984,4
Dance-Pop,Spain,1985,11
Dance-Pop,Spain,1986,16
Dance-Pop,Spain,1987,28
Dance-Pop,Spain,1988,21
Dance-Pop,Spain,1989,10
Dance-Pop,Spain,1990,13
House,ALL,1970,0
House,ALL,1971,0
House,ALL,1972,0
House,ALL,1973,0
House,ALL,1974,0
House,ALL,1975,0
House,ALL,1976,0
House,ALL,1977,0
House,ALL,1978,1
House,ALL,1979,0
House,ALL,1980,0
House,ALL,1981,0
House,ALL,1982,42
House,ALL,1983,79
House,ALL,1984,103
House,ALL,1985,394
House,ALL,1986,1474
House,ALL,1987,3657
House,ALL,1988,8773
House,ALL,1989,14538
House,ALL,1990,19675
House,US,1970,0
House,US,1971,0
House,US,1972,0
House,US,1973,0
House,US,1974,0
House,US,1975,0
House,US,1976,0
House,US,1977,0
House,US,1978,0
House,US,1979,0
House,US,1980,0
House,US,1981,0
House,US,1982,28
House,US,1983,38
House,US,1984,64
House,US,1985,210
House,US,1986,649
House,US,1987,1321
House,US,1988,2141
House,US,1989,3098
House,US,1990,3736
House,UK,1970,0
House,UK,1971,0
House,UK,1972,0
House,UK,1973,0
House,UK,1974,0
House,UK,1975,0
House,UK,1976,0
House,UK,1977,0
House,UK,1978,0
House,UK,1979,0
House,UK,1980,0
House,UK,1981,0
House,UK,1982,6
House,UK,1983,7
House,UK,1984,10
House,UK,1985,56
House,UK,1986,321
House,UK,1987,934
House,UK,1988,2546
House,UK,1989,3766
House,UK,1990,4831
House,Italy,1970,0
House,Italy,1971,0
House,Italy,1972,0
House,Italy,1973,0
House,Italy,1974,0
House,Italy,1975,0
House,Italy,1976,0
House,Italy,1977,0
House,Italy,1978,0
House,Italy,1979,0
House,Italy,1980,0
House,Italy,1981,0
House,Italy,1982,2
House,Italy,1983,2
House,Italy,1984,1
House,Italy,1985,6
House,Italy,1986,28
House,Italy,1987,104
House,Italy,1988,378
House,Italy,1989,832
House,Italy,1990,1485
House,Germany,1970,0
House,Germany,1971,0
House,Germany,1972,0
House,Germany,1973,0
House,Germany,1974,0
House,Germany,1975,0
House,Germany,1976,0
House,Germany,1977,0
House,Germany,1978,0
House,Germany,1979,0
House,Germany,1980,0
House,Germany,1981,0
House,Germany,1982,1
House,Germany,1983,4
House,Germany,1984,1
House,Germany,1985,11
House,Germany,1986,75
House,Germany,1987,335
House,Germany,1988,817
House,Germany,1989,1459
House,Germany,1990,2133
House,Spain,1970,0
House,Spain,1971,0
House,Spain,1972,0
House,Spain,1973,0
House,Spain,1974,0
House,Spain,1975,0
House,Spain,1976,0
House,Spain,1977,0
House,Spain,1978,0
House,Spain,1979,0
House,Spain,1980,0
House,Spain,1981,0
House,Spain,1982,1
House,Spain,1983,2
House,Spain,1984,2
House,Spain,1985,10
House,Spain,1986,55
House,Spain,1987,129
House,Spain,1988,315
House,Spain,1989,536
House,Spain,1990,668
Techno,ALL,1970,0
Techno,ALL,1971,0
Techno,ALL,1972,0
Techno,ALL,1973,0
Techno,ALL,1974,1
Techno,ALL,1975,1
Techno,ALL,1976,0
Techno,ALL,1977,0
Techno,ALL,1978,1
Techno,ALL,1979,1
Techno,ALL,1980,1
Techno,ALL,1981,14
Techno,ALL,1982,14
Techno,ALL,1983,18
Techno,ALL,1984,33
Techno,ALL,1985,41
Techno,ALL,1986,70
Techno,ALL,1987,129
Techno,ALL,1988,414
Techno,ALL,1989,1038
Techno,ALL,1990,2917
Techno,US,1970,0
Techno,US,1971,0
Techno,US,1972,0
Techno,US,1973,0
Techno,US,1974,1
Techno,US,1975,1
Techno,US,1976,0
Techno,US,1977,0
Techno,US,1978,0
Techno,US,1979,0
Techno,US,1980,0
Techno,US,1981,4
Techno,US,1982,3
Techno,US,1983,1
Techno,US,1984,2
Techno,US,1985,7
Techno,US,1986,25
Techno,US,1987,75
Techno,US,1988,113
Techno,US,1989,207
Techno,US,1990,378
Techno,UK,1970,0
Techno,UK,1971,0
Techno,UK,1972,0
Techno,UK,1973,0
Techno,UK,1974,0
Techno,UK,1975,0
Techno,UK,1976,0
Techno,UK,1977,0
Techno,UK,1978,0
Techno,UK,1979,0
Techno,UK,1980,0
Techno,UK,1981,2
Techno,UK,1982,0
Techno,UK,1983,0
Techno,UK,1984,1
Techno,UK,1985,3
Techno,UK,1986,5
Techno,UK,1987,19
Techno,UK,1988,143
Techno,UK,1989,327
Techno,UK,1990,1069
Techno,Italy,1970,0
Techno,Italy,1971,0
Techno,Italy,1972,0
Techno,Italy,1973,0
Techno,Italy,1974,0
Techno,Italy,1975,0
Techno,Italy,1976,0
Techno,Italy,1977,0
Techno,Italy,1978,0
Techno,Italy,1979,0
Techno,Italy,1980,0
Techno,Italy,1981,0
Techno,Italy,1982,0
Techno,Italy,1983,0
Techno,Italy,1984,0
Techno,Italy,1985,1
Techno,Italy,1986,1
Techno,Italy,1987,0
Techno,Italy,1988,8
Techno,Italy,1989,35
Techno,Italy,1990,195
